id,name
8223296,The Serious Sweet Company Limited
10104330,Minim UK Productions Limited
8018007,Infrasig Limited
7201892,Restaurant At 5 Hertford Street Limited
8058679,Ledex Limited
10347700,Fioretti Trust
7070240,Airvolution Energy Limited
9173933,Hotel Collection Hotel No. 13 Limited
7125852,Plessey Group Holdings Limited
9247415,Noosa Development (Bournville) Limited
8025958,Timberley Academy Trust
7884858,Blue Water Shipping UK Limited
6193937,Zeppelin Systems UK Limited
6455581,New Hall Hotel Limited
6706681,Allenby Capital Limited
6852689,Frogmore Real Estate Partners Fund Managers Limited
8872045,Benchmark Animal Health Limited
9019750,Jar Financial Management Limited
9260842,Eco World Management & Advisory Services (UK) Limited
6646759,Friends of The NW Air Ambulance Lottery Community Interest Company
8540730,Big Sync Music Limited
6639468,Kavanagh Health Care Limited
6804877,Retail Agents 210 Limited
9831288,Cameron House Lodges Limited
6239783,12 Smithfield General Partner Limited
6268570,Castle View Enterprise Academy
8145428,Birmingham Bio Power Limited
6350828,British Friends of The Hebrew University of Jerusalem
6655152,Avery Homes Cliftonville Limited
7839423,Intelligent Advisory Services Limited
8115762,Adl Drywall Systems Limited
8572611,Hult Recruiting Services Limited
9096181,Kew Green Hotels (York) Limited
9518191,Mpe Group Limited
7203626,Tlscontact (UK) Limited
9682883,SQN Secured Income Fund PLC
9689123,Agrivert (South Wales) Limited
9714017,Mitchells Holding Limited
9595604,Mick George Recycling Limited
6409139,Spire Property 23 Limited
8336324,London Community Learning Trust
7130194,Bluecrest Capital UK Limited
6694425,Avondale Advanced Waste Treatment Limited
9867463,Roxhill Management RUGBY Limited
7007467,Surrey Lighting Services Limited
6977417,University of Bristol Students' Union
9691946,Lincolnshire Wolds Community Trust
10053084,Colliers International Emea Holdings Limited
10211220,Lime Pictures (HH) Limited
7463355,Store First Limited
7051134,Christchurch Court (UK) Limited
8359113,Culture Coventry
8632527,Tower Hamlets Enterprise Academy Ltd
7923624,Hackney New School Limited
7509468,Nus Students' Union Charitable Services
7858061,Madano Partnership Limited
7864905,Northill Capital Services Limited
6846409,Shms Contracting Limited
9494940,Parkwood Hall Co-Operative Academy Trust
10369765,BF Inter Ltd
7742678,Barnsley Norse Limited
7948348,The Academy of Central Bedfordshire
8381716,360 Electronics Ltd
9017739,Hawthorn Leisure Management Limited
9760756,FC Skyfall Ta Limited
9811656,Affinity Flying Services Limited
9336000,Connect Ib Ltd
9297097,GCF 2 Limited
7819429,Humphrey Perkins School
8699396,Hunter George & Partners Limited
10162225,Atlanta Investment Holdings 3 Limited
10343992,Holmfirth Dyers Holdings Limited
6673424,Testplant Europe Limited
6708662,Bicker Fen Windfarm Limited
8112836,Derwent London Howland Limited
8236578,Ogh Limited
8163533,View Training Limited
1281415,Morgan Stanley UK Group
7954396,Nas Academies Trust
9572336,Walsall Adult and Community College
9642277,Erba Diagnostics UK Limited
9134273,Newday Partnership Funding 2014-1 PLC
8230067,Gmex Technologies Limited
8338875,Urban Splash Management Limited
9402700,Uml Marlin Limited
9754605,City & Country Colchester Ltd
